top_speed_kmh,battery_capacity_kWh,battery_type,number_of_cells,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,seats,drivetrain,length_mm,width_mm,height_mm,car_body_type
130,64.0,0,485.29347826086956,415.0,370,235,9.0,70.0,0,2000.0,8,2,5050,1999,1959,6
130,64.0,0,485.29347826086956,415.0,370,235,8.0,70.0,0,2000.0,8,2,5050,1999,1959,6
150,64.0,0,485.29347826086956,415.0,370,235,9.0,70.0,0,2000.0,8,2,5908,1999,1959,6
150,64.0,0,485.29347826086956,415.0,370,235,8.0,70.0,0,2000.0,8,2,5908,1999,1959,6
160,45.4,0,485.29347826086956,250.0,146,260,8.3,45.0,0,0.0,5,1,4235,1825,1603,2
160,59.3,0,485.29347826086956,250.0,141,340,8.2,56.0,0,0.0,5,1,4235,1825,1603,2
160,59.3,0,485.29347826086956,250.0,148,325,8.2,56.0,0,0.0,5,1,4254,1848,1603,2
180,83.5,0,485.29347826086956,680.0,161,430,4.5,80.0,0,0.0,5,0,4871,1862,1500,5
170,64.3,0,485.29347826086956,340.0,146,350,8.2,75.0,0,0.0,5,1,4871,1862,1500,5
170,64.3,0,485.29347826086956,340.0,146,350,8.2,75.0,0,0.0,5,1,4871,1862,1500,5
225,82.5,0,485.29347826086956,700.0,159,440,4.9,160.0,0,1052.2610619469026,5,0,5005,1925,1470,5
185,74.0,0,384.0,350.0,143,390,7.8,200.0,0,1600.0,5,2,4515,1890,1580,4
200,74.0,0,384.0,605.0,157,375,5.5,200.0,0,1600.0,5,0,4515,1890,1580,4
235,74.0,0,384.0,700.0,159,360,4.0,200.0,0,1600.0,5,0,4515,1890,1580,4
235,74.0,0,384.0,700.0,163,350,4.2,190.0,0,1800.0,5,0,4715,1910,1630,4
160,61.9,0,485.29347826086956,310.0,150,335,7.6,60.0,0,0.0,5,1,4387,1790,1584,4
200,112.0,0,485.29347826086956,750.0,217,455,4.9,110.0,0,1500.0,5,0,5209,2010,1731,4
200,76.5,0,485.29347826086956,600.0,193,320,6.5,112.0,0,1500.0,5,0,5209,2010,1731,4
200,90.0,0,485.29347826086956,750.0,194,370,4.9,112.0,0,1500.0,5,0,5209,2010,1731,4
150,46.0,0,485.29347826086956,147.0,124,300,10.6,70.0,0,1052.2610619469026,4,1,3825,1610,1575,4
140,39.0,0,485.29347826086956,147.0,119,255,11.7,60.0,0,1052.2610619469026,4,1,3825,1610,1575,4
185,60.0,0,288.0,350.0,136,345,8.5,150.0,0,750.0,5,2,4655,1890,1605,4
185,80.0,0,384.0,605.0,162,445,5.3,205.0,0,1600.0,5,0,4655,1890,1605,4
185,80.0,0,384.0,350.0,155,450,7.5,205.0,0,1600.0,5,2,4655,1890,1605,4
260,80.0,0,384.0,740.0,179,390,3.4,205.0,0,0.0,5,0,4715,1940,1585,4
185,74.0,0,384.0,350.0,136,495,7.4,200.0,0,1500.0,5,2,4855,1880,1495,5
185,74.0,0,384.0,605.0,143,440,5.1,200.0,0,1500.0,5,0,4855,1880,1495,5
185,50.0,0,264.0,350.0,117,335,8.8,120.0,0,750.0,5,2,4855,1880,1495,5
200,106.0,0,485.29347826086956,605.0,177,490,6.7,195.0,0,2500.0,7,0,5060,1980,1790,4
185,106.0,0,485.29347826086956,350.0,171,500,9.4,195.0,0,1600.0,7,2,5060,1980,1790,4
200,106.0,0,485.29347826086956,700.0,177,480,5.2,195.0,0,2500.0,7,0,5060,1980,1790,4
160,48.4,0,485.29347826086956,255.0,128,295,8.8,50.0,0,300.0,5,1,4355,1825,1575,4
170,65.4,0,485.29347826086956,255.0,144,390,7.8,86.0,0,750.0,5,1,4355,1825,1575,4
200,84.7,0,432.0,696.0,208,380,4.8,85.0,0,750.0,5,0,4682,2011,1566,4
150,50.8,0,102.0,260.0,132,310,9.0,85.0,0,0.0,5,1,4084,1776,1528,4
180,74.0,0,485.29347826086956,345.0,148,370,8.5,90.0,0,1000.0,5,1,4552,1928,1675,4
175,72.0,0,485.29347826086956,339.0,156,370,8.1,85.0,0,1500.0,5,1,4715,1890,1725,4
170,78.0,0,485.29347826086956,283.0,139,455,7.7,105.0,0,1000.0,5,1,4300,1850,1560,4
170,55.0,0,485.29347826086956,283.0,133,325,7.5,80.0,0,300.0,5,1,4300,1850,1560,4
170,78.0,0,485.29347826086956,283.0,132,475,7.7,105.0,0,1052.2610619469026,5,1,4430,1860,1485,2
170,55.0,0,485.29347826086956,283.0,134,340,7.4,80.0,0,1052.2610619469026,5,1,4430,1860,1485,2
170,78.0,0,485.29347826086956,283.0,124,495,7.7,105.0,0,1052.2610619469026,5,1,4730,1860,1480,5
170,55.0,0,485.29347826086956,283.0,128,355,7.4,80.0,0,1052.2610619469026,5,1,4730,1860,1480,5
260,80.0,0,384.0,770.0,178,385,3.5,205.0,0,1800.0,5,0,4695,1890,1545,4
185,80.0,0,384.0,350.0,143,455,7.3,205.0,0,1800.0,5,2,4695,1880,1575,4
185,80.0,0,384.0,605.0,154,440,5.2,205.0,0,1800.0,5,0,4695,1880,1575,4
185,60.0,0,288.0,350.0,140,345,8.7,150.0,0,750.0,5,2,4695,1880,1575,4
190,73.0,0,348.0,350.0,165,355,8.5,160.0,0,900.0,7,2,5010,1980,1755,4
200,96.0,0,456.0,600.0,188,435,6.0,194.0,0,2500.0,7,0,5010,1980,1755,4
220,96.0,0,456.0,740.0,190,420,4.6,194.0,0,2500.0,7,0,5015,1980,1755,4
200,96.0,0,456.0,700.0,190,425,5.3,194.0,0,2500.0,7,0,5015,1980,1780,4
185,96.0,0,456.0,350.0,171,450,9.4,194.0,0,900.0,7,2,5010,1980,1755,4
167,64.8,0,96.0,255.0,140,385,7.8,70.0,0,750.0,5,1,4420,1825,1570,4
150,48.1,0,96.0,260.0,122,310,8.2,80.0,0,0.0,5,1,4080,1760,1440,2
170,69.9,0,485.29347826086956,320.0,166,350,7.5,70.0,0,1500.0,5,2,4739,1900,1680,4
130,36.0,0,485.29347826086956,158.0,136,225,12.7,30.0,0,1052.2610619469026,4,1,3620,1652,1577,2
160,64.0,0,96.0,266.0,149,365,8.0,100.0,0,750.0,5,1,4690,1860,1600,4
160,64.0,0,96.0,435.0,158,350,5.6,100.0,0,750.0,5,0,4805,1895,1635,4
160,64.0,0,96.0,300.0,145,340,7.5,35.0,1,0.0,5,1,4495,1840,1545,4
250,109.0,0,485.29347826086956,710.0,204,495,4.5,259.0,0,2250.0,5,0,5103,2019,1630,4
260,109.0,0,485.29347826086956,985.0,266,455,2.9,259.0,0,2250.0,5,0,5103,2019,1636,4
250,109.0,0,485.29347826086956,710.0,222,480,4.5,259.0,0,2250.0,5,0,5103,2019,1630,4
250,98.9,0,485.29347826086956,710.0,198,520,4.2,240.0,0,2250.0,5,0,5139,2005,1464,3
256,98.9,0,485.29347826086956,985.0,227,465,2.8,240.0,0,1225.0,5,0,5139,2005,1464,3
250,98.9,0,485.29347826086956,710.0,198,520,4.2,240.0,0,2250.0,5,0,5139,2005,1464,3
270,112.0,0,6600.0,1200.0,143,665,3.0,184.0,0,0.0,5,0,4975,1939,1410,5
200,92.0,0,5400.0,498.0127388535032,130,565,4.7,160.0,0,0.0,5,2,4975,1939,1410,5
250,92.0,0,5400.0,498.0127388535032,142,580,3.2,160.0,0,0.0,5,0,4975,1939,1410,5
180,65.0,0,485.29347826086956,343.0,149,370,5.5,90.0,0,1600.0,5,2,4460,1845,1573,4
200,74.4,0,485.29347826086956,725.0,168,395,3.2,85.0,0,1052.2610619469026,2,0,4535,1913,1329,0
195,74.4,0,485.29347826086956,475.0,146,425,5.0,85.0,0,1052.2610619469026,2,2,4535,1913,1329,0
160,50.8,0,104.0,250.0,145,300,7.7,68.0,0,500.0,5,2,4287,1836,1504,2
160,61.7,0,104.0,250.0,142,360,7.9,116.0,0,500.0,5,2,4287,1836,1504,2
180,74.4,0,485.29347826086956,350.0,143,425,6.5,110.0,0,500.0,5,2,4287,1836,1516,2
200,61.7,0,104.0,600.0,160,320,3.8,116.0,0,500.0,5,0,4287,1836,1516,2
185,57.4,0,485.29347826086956,280.0,151,335,7.7,60.0,0,500.0,5,1,4600,1818,1543,7
185,46.0,0,485.29347826086956,280.0,148,265,7.7,53.0,0,500.0,5,1,4600,1818,1543,7
170,47.1,0,485.29347826086956,250.0,139,275,8.0,80.0,0,750.0,5,2,4476,1849,1621,4
190,62.1,0,485.29347826086956,350.0,134,365,6.3,90.0,0,750.0,5,2,4476,1849,1621,4
175,68.3,0,485.29347826086956,280.0,155,370,8.4,82.0,0,500.0,5,1,4323,1809,1649,4
175,49.0,0,485.29347826086956,280.0,153,265,8.6,50.0,0,500.0,5,1,4323,1809,1649,4
290,83.0,0,485.29347826086956,1350.0,198,395,2.8,190.0,0,1052.2610619469026,4,0,4966,1957,1365,0
325,83.0,0,485.29347826086956,1350.0,182,420,2.7,217.0,0,1052.2610619469026,4,0,4959,1957,1353,1
220,95.0,0,485.29347826086956,820.0,220,400,4.1,110.0,0,1800.0,5,0,4865,1948,1651,4
180,84.0,0,485.29347826086956,350.0,195,365,9.2,103.0,0,1000.0,7,1,5270,2000,1840,6
175,66.0,0,485.29347826086956,320.0,138,390,7.6,120.0,0,1500.0,5,2,4921,1890,1491,3
175,75.0,0,485.29347826086956,320.0,136,440,7.8,70.0,0,1500.0,5,2,4921,1890,1491,3
210,85.0,0,485.29347826086956,335.0,122,565,6.7,235.0,0,1500.0,5,2,4723,1855,1468,5
210,85.0,0,485.29347826086956,515.0,126,550,4.9,235.0,0,1800.0,5,0,4723,1855,1468,5
160,66.5,0,300.0,385.0,146,395,8.6,100.0,0,1500.0,5,1,4463,1834,1620,4
160,70.5,0,485.29347826086956,385.0,142,420,8.6,90.0,0,1500.0,5,1,4463,1834,1620,4
160,66.5,0,300.0,390.0,162,350,7.7,100.0,0,1800.0,5,0,4463,1834,1620,4
160,66.5,0,300.0,520.0,162,350,6.0,100.0,0,1800.0,5,0,4463,1834,1620,4
160,70.5,0,485.29347826086956,385.0,152,415,8.9,90.0,0,1400.0,7,1,4684,1834,1667,4
160,66.5,0,300.0,390.0,168,345,8.0,100.0,0,1700.0,7,0,4684,1834,1667,4
160,66.5,0,300.0,520.0,168,345,6.2,100.0,0,1700.0,7,0,4684,1834,1667,4
210,89.0,0,485.29347826086956,550.0,163,525,7.3,120.0,0,750.0,5,2,4946,1906,1503,5
210,90.6,0,360.0,765.0,173,515,6.3,141.0,0,1700.0,5,0,4946,1906,1503,5
210,96.0,0,485.29347826086956,565.0,164,555,6.5,141.0,0,750.0,5,2,4946,1906,1510,5
210,90.6,0,360.0,858.0,173,505,4.7,141.0,0,1700.0,5,0,4946,1906,1503,5
210,90.6,0,360.0,858.0,207,450,4.2,141.0,0,1700.0,5,0,4964,1906,1495,5
220,90.6,0,360.0,950.0,208,450,3.5,141.0,0,1700.0,5,0,4964,1906,1495,5
210,90.6,0,485.29347826086956,550.0,182,450,7.6,141.0,0,750.0,5,2,4863,1940,1685,4
210,90.6,0,485.29347826086956,765.0,189,435,6.6,141.0,0,1800.0,5,0,4863,1940,1685,4
210,96.0,0,485.29347826086956,565.0,164,475,6.9,141.0,0,750.0,5,2,4863,1940,1685,4
210,96.0,0,485.29347826086956,858.0,187,455,4.9,141.0,0,1800.0,5,0,4863,1940,1685,4
210,90.6,0,360.0,858.0,214,425,4.3,141.0,0,1800.0,5,0,4879,1940,1672,4
240,90.6,0,360.0,1000.0,242,420,3.5,141.0,0,1800.0,5,0,4879,1940,1672,4
210,96.0,0,360.0,565.0,165,570,6.7,130.0,0,750.0,5,2,5223,1926,1512,5
210,118.0,0,485.29347826086956,800.0,180,655,5.7,160.0,0,1700.0,5,0,5223,1926,1518,5
210,118.0,0,485.29347826086956,568.0,173,685,6.2,160.0,0,750.0,5,2,5223,1926,1518,5
210,118.0,0,485.29347826086956,828.0,180,640,4.9,160.0,0,1700.0,5,0,5223,1926,1518,5
210,118.0,0,485.29347826086956,858.0,180,640,4.4,160.0,0,1700.0,5,0,5223,1926,1518,5
250,118.0,0,485.29347826086956,1020.0,222,585,3.4,160.0,0,1700.0,5,0,5223,1926,1518,5
210,118.0,0,485.29347826086956,800.0,199,530,6.1,160.0,0,1800.0,7,0,5125,1959,1718,4
210,118.0,0,485.29347826086956,568.0,195,540,6.8,160.0,0,750.0,7,2,5125,1959,1718,4
210,118.0,0,485.29347826086956,828.0,199,530,5.3,160.0,0,1800.0,7,0,5125,1959,1718,4
210,118.0,0,485.29347826086956,858.0,199,530,4.7,160.0,0,1800.0,7,0,5125,1959,1718,4
210,118.0,0,485.29347826086956,950.0,211,490,4.4,160.0,0,1800.0,4,0,5125,1959,1725,4
132,45.0,0,485.29347826086956,245.0,177,220,13.3,50.0,0,1500.0,7,1,4922,1859,1811,6
132,45.0,0,485.29347826086956,245.0,167,225,12.6,50.0,0,1500.0,5,1,4498,1859,1819,6
160,60.0,0,192.0,365.0,282,210,12.0,60.0,0,0.0,7,1,5370,1928,1911,6
160,60.0,0,192.0,365.0,282,215,12.0,60.0,0,0.0,7,1,5140,1928,1910,6
140,90.0,0,288.0,365.0,249,315,12.2,96.0,0,0.0,7,1,5370,1928,1901,6
160,90.0,0,288.0,365.0,276,320,12.1,96.0,0,0.0,7,1,5140,1928,1901,6
180,116.0,0,216.0,1164.0,267,360,4.7,150.0,0,0.0,5,0,4624,1931,1986,4
160,60.0,0,192.0,360.0,254,215,12.0,60.0,0,0.0,8,1,5370,1928,1890,6
160,60.0,0,192.0,360.0,259,220,12.0,60.0,0,0.0,8,1,5140,1928,1890,6
160,90.0,0,288.0,360.0,260,325,12.1,96.0,0,0.0,8,1,5140,1928,1890,6
160,38.5,0,485.29347826086956,290.0,129,230,7.9,60.0,0,750.0,5,1,4079,1754,1514,4
200,49.2,0,485.29347826086956,350.0,143,280,6.4,75.0,0,750.0,5,1,4079,1754,1514,4
